time,stock_code,current_price,volume,prev_day_high,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,indiv_net_vol,foreign_net_vol,inst_net_vol,pension_net_vol,trust_net_vol,insurance_net_vol,private_fund_net_vol,bank_net_vol,state_net_vol,other_net_vol,prog_net_vol
144032218,005930,70600.0,9222436,0.0,70580.0,53.846153846153854,100.02833663927457,72.72727272727273,72.72727272727273,1.0,1.3975438701128335,0.0,0.0,0.0,0.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144033216,005930,70600.0,9222440,0.0,70590.0,50.0,100.01416631250886,72.72727272727273,72.72727272727273,1.0,1.3827054856374812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144033824,005930,70500.0,9222446,0.0,70580.0,42.857142857142854,99.88665344290168,63.63636363636363,69.6969696969697,1.0,1.3693499000720009,-9222446.0,0.0,0.0,-100.0,-0.141643059490085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144034823,005930,70500.0,9222447,0.0,70560.0,50.0,99.91496598639455,63.63636363636363,66.66666666666667,1.0,1.354095442508414,0.0,0.0,0.0,100.0,-0.141643059490085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144035023,005930,70500.0,9222448,0.0,70540.0,50.0,99.94329458463284,63.63636363636363,63.63636363636363,1.0,1.339357419674583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144035225,005930,70500.0,9222475,0.0,70520.0,40.0,99.97163925127623,63.63636363636363,63.63636363636363,1.0,1.3373780964016653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144035521,005930,70600.0,9222477,0.0,70520.0,60.0,100.11344299489507,72.72727272727273,66.66666666666667,1.0,1.3237614129983153,9222477.0,0.0,0.0,100.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144036127,005930,70500.0,9222510,0.0,70520.0,40.0,99.97163925127623,63.63636363636363,66.66666666666667,1.0,1.3251356792182691,-9222510.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144036219,005930,70500.0,9222529,0.0,70520.0,50.0,99.97163925127623,63.63636363636363,66.66666666666667,1.0,1.3199895309177296,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144038126,005930,70600.0,9222531,0.0,70540.0,60.0,100.08505812305076,72.72727272727273,66.66666666666667,1.0,1.3071125234293526,9222531.0,0.0,0.0,100.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
