time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty
1.75644E+12,161390,40200,282096,40200,100,100,4.347826087,4.347826087,1.001326839,1.37503362,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,282757,40200,100,100,4.347826087,4.347826087,1.003439824,2.256913625,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,282777,40200,100,100,4.347826087,4.347826087,1.003277059,2.112496746,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,283494,40200,100,100,4.347826087,4.347826087,1.005459031,2.785243284,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,283544,40200,100,100,4.347826087,4.347826087,1.005265925,2.560793418,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284211,40200,100,100,4.347826087,4.347826087,1.007141498,2.944474102,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284225,40200,100,100,4.347826087,4.347826087,1.006700059,2.653733671,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284470,40200,100,100,4.347826087,4.347826087,1.007035478,2.616215101,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284872,40200,100,100,4.347826087,4.347826087,1.007902677,2.689620948,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284910,40200,100,100,4.347826087,4.347826087,1.007477313,2.489638194,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
